cve_id,vendor,product,vuln_name,dateAdded,dueDate,notes
CVE-2025-27038,Qualcomm,Multiple Chipsets,Qualcomm Multiple Chipsets Use-After-Free Vulnerability,2025-06-03,2025-06-24,"Please check with specific vendors (OEMs,) for information on patching status. For more information, please see: https://docs.qualcomm.com/product/publicresources/securitybulletin/june-2025-bulletin.html ;   https://nvd.nist.gov/vuln/detail/CVE-2025-27038"
CVE-2021-32030,ASUS,Routers,ASUS Routers Improper Authentication Vulnerability,2025-06-02,2025-06-23,https://www.asus.com/us/supportonly/lyra%20mini/helpdesk_bios/ ; https://www.asus.com/us/supportonly/rog%20rapture%20gt-ac2900/helpdesk_bios/; https://nvd.nist.gov/vuln/detail/CVE-2021-32030
CVE-2025-3935,ConnectWise,ScreenConnect,ConnectWise ScreenConnect Improper Authentication Vulnerability,2025-06-02,2025-06-23,https://www.connectwise.com/company/trust/security-bulletins/screenconnect-security-patch-2025.4 ;   https://nvd.nist.gov/vuln/detail/CVE-2025-3935
CVE-2025-35939,Craft CMS,Craft CMS,Craft CMS External Control of Assumed-Immutable Web Parameter Vulnerability,2025-06-02,2025-06-23,https://github.com/craftcms/cms/pull/17220 ;   https://nvd.nist.gov/vuln/detail/CVE-2025-35939
CVE-2024-56145,Craft CMS,Craft CMS,Craft CMS Code Injection Vulnerability,2025-06-02,2025-06-23,https://github.com/craftcms/cms/security/advisories/GHSA-2p6p-9rc9-62j9 ; https://nvd.nist.gov/vuln/detail/CVE-2024-56145
CVE-2023-39780,ASUS,RT-AX55 Routers,ASUS RT-AX55 Routers OS Command Injection Vulnerability,2025-06-02,2025-06-23,https://www.asus.com/networking-iot-servers/wifi-6/all-series/rt-ax55/helpdesk_bios/?model2Name=RT-AX55 ;   https://www.asus.com/content/asus-product-security-advisory/ ; https://nvd.nist.gov/vuln/detail/CVE-2023-39780
CVE-2025-4632,Samsung,MagicINFO 9 Server,Samsung MagicINFO 9 Server Path Traversal Vulnerability,2025-05-22,2025-06-12,https://security.samsungtv.com/securityUpdates#SVP-MAY-2025 ; https://nvd.nist.gov/vuln/detail/CVE-2025-4632
CVE-2023-38950,ZKTeco,BioTime,ZKTeco BioTime Path Traversal Vulnerability,2025-05-19,2025-06-09,https://www.zkteco.com/en/Security_Bulletinsibs ; https://nvd.nist.gov/vuln/detail/CVE-2023-38950
CVE-2024-27443,Synacor,Zimbra Collaboration Suite (ZCS),Synacor Zimbra Collaboration Suite (ZCS) Cross-Site Scripting (XSS) Vulnerability,2025-05-19,2025-06-09,https://wiki.zimbra.com/wiki/Zimbra_Releases/8.8.15/P46#Security_Fixes ; https://wiki.zimbra.com/wiki/Zimbra_Releases/9.0.0/P39#Security_Fixes ; https://wiki.zimbra.com/wiki/Zimbra_Releases/10.0.7#Security_Fixes ; https://nvd.nist.gov/vuln/detail/CVE-2024-27443
CVE-2025-27920,Srimax,Output Messenger,Srimax Output Messenger Directory Traversal Vulnerability,2025-05-19,2025-06-09,https://www.outputmessenger.com/cve-2025-27920/ ; https://nvd.nist.gov/vuln/detail/CVE-2025-27920
CVE-2024-11182,MDaemon,Email Server,MDaemon Email Server Cross-Site Scripting (XSS) Vulnerability,2025-05-19,2025-06-09,https://files.mdaemon.com/mdaemon/beta/RelNotes_en.html ; https://mdaemon.com/pages/downloads-critical-updates ; https://nvd.nist.gov/vuln/detail/CVE-2024-11182
CVE-2025-4428,Ivanti,Endpoint Manager Mobile (EPMM),Ivanti Endpoint Manager Mobile (EPMM) Code Injection Vulnerability,2025-05-19,2025-06-09,https://forums.ivanti.com/s/article/Security-Advisory-Ivanti-Endpoint-Manager-Mobile-EPMM ; https://nvd.nist.gov/vuln/detail/CVE-2025-4428
CVE-2025-4427,Ivanti,Endpoint Manager Mobile (EPMM),Ivanti Endpoint Manager Mobile (EPMM) Authentication Bypass Vulnerability,2025-05-19,2025-06-09,https://forums.ivanti.com/s/article/Security-Advisory-Ivanti-Endpoint-Manager-Mobile-EPMM ; https://nvd.nist.gov/vuln/detail/CVE-2025-4427
CVE-2025-42999,SAP,NetWeaver,SAP NetWeaver Deserialization Vulnerability,2025-05-15,2025-06-05,SAP users must have an account to log in and access the patch: https://me.sap.com/notes/3604119 ; https://nvd.nist.gov/vuln/detail/CVE-2025-42999
CVE-2024-12987,DrayTek,Vigor Routers,DrayTek Vigor Routers OS Command Injection Vulnerability,2025-05-15,2025-06-05,https://fw.draytek.com.tw/Vigor2960/Firmware/v1.5.1.5/DrayTek_Vigor2960_V1.5.1.5_01release-note.pdf ; https://fw.draytek.com.tw/Vigor300B/Firmware/v1.5.1.5/DrayTek_Vigor300B_V1.5.1.5_01release-note.pdf ; https://fw.draytek.com.tw/Vigor3900/Firmware/v1.5.1.5/DrayTek_Vigor3900_V1.5.1.5_01release-note.pdf ; https://nvd.nist.gov/vuln/detail/CVE-2024-12987
CVE-2025-32756,Fortinet,Multiple Products,Fortinet Multiple Products Stack-Based Buffer Overflow Vulnerability,2025-05-14,2025-06-04,https://fortiguard.fortinet.com/psirt/FG-IR-25-254 ; https://nvd.nist.gov/vuln/detail/CVE-2025-32756
CVE-2025-32709,Microsoft,Windows,Microsoft Windows Ancillary Function Driver for WinSock Use-After-Free Vulnerability,2025-05-13,2025-06-03,https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2025-32709 ; https://nvd.nist.gov/vuln/detail/CVE-2025-32709
CVE-2025-30397,Microsoft,Windows,Microsoft Windows Scripting Engine Type Confusion Vulnerability,2025-05-13,2025-06-03,https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2025-30397 ; https://nvd.nist.gov/vuln/detail/CVE-2025-30397
CVE-2025-32706,Microsoft,Windows,Microsoft Windows Common Log File System (CLFS) Driver Heap-Based Buffer Overflow Vulnerability,2025-05-13,2025-06-03,https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2025-32706 ; https://nvd.nist.gov/vuln/detail/CVE-2025-32706
CVE-2025-32701,Microsoft,Windows,Microsoft Windows Common Log File System (CLFS) Driver Use-After-Free Vulnerability,2025-05-13,2025-06-03,https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2025-32701 ; https://nvd.nist.gov/vuln/detail/CVE-2025-32701
CVE-2025-30400,Microsoft,Windows,Microsoft Windows DWM Core Library Use-After-Free Vulnerability,2025-05-13,2025-06-03,https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2025-30400 ; https://nvd.nist.gov/vuln/detail/CVE-2025-30400
CVE-2025-47729,TeleMessage,TM SGNL,TeleMessage TM SGNL Hidden Functionality Vulnerability,2025-05-12,2025-06-02,"Apply mitigations per vendor instructions. Absent mitigating instructions from the vendor, discontinue use of the product. ; https://nvd.nist.gov/vuln/detail/CVE-2025-47729"
CVE-2024-11120,GeoVision,Multiple Devices,GeoVision Devices OS Command Injection Vulnerability,2025-05-07,2025-05-28,https://dlcdn.geovision.com.tw/TechNotice/CyberSecurity/Security_Advisory_IP_Device_2024-11.pdf ; https://nvd.nist.gov/vuln/detail/CVE-2024-11120
CVE-2024-6047,GeoVision,Multiple Devices,GeoVision Devices OS Command Injection Vulnerability,2025-05-07,2025-05-28,https://dlcdn.geovision.com.tw/TechNotice/CyberSecurity/Security_Advisory_IP_Device_2024-11.pdf ; https://nvd.nist.gov/vuln/detail/CVE-2024-6047
CVE-2025-27363,FreeType,FreeType,FreeType Out-of-Bounds Write Vulnerability,2025-05-06,2025-05-27,"This vulnerability affects a common open-source component, third-party library, or a protocol used by different products. Please check with specific vendors for information on patching status. For more information, please see: https://source.android.com/docs/security/bulletin/2025-05-01 ; https://nvd.nist.gov/vuln/detail/CVE-2025-27363"
CVE-2025-3248,Langflow,Langflow,Langflow Missing Authentication Vulnerability,2025-05-05,2025-05-26,"This vulnerability affects a common open-source project, third-party library, or a protocol used by different products. For more information, please see: https://github.com/advisories/GHSA-c995-4fw3-j39m ; https://nvd.nist.gov/vuln/detail/CVE-2025-3248"
CVE-2025-34028,Commvault,Command Center,Commvault Command Center Path Traversal Vulnerability,2025-05-02,2025-05-23,https://documentation.commvault.com/securityadvisories/CV_2025_04_1.html ; https://nvd.nist.gov/vuln/detail/CVE-2025-34028
CVE-2024-58136,Yiiframework,Yii,Yiiframework Yii Improper Protection of Alternate Path Vulnerability,2025-05-02,2025-05-23,"This vulnerability affects a common open-source component, third-party library, or a protocol used by different products. For more information, please see: https://www.yiiframework.com/news/709/please-upgrade-to-yii-2-0-52 ; https://nvd.nist.gov/vuln/detail/CVE-2024-58136"
CVE-2024-38475,Apache,HTTP Server,Apache HTTP Server Improper Escaping of Output Vulnerability,2025-05-01,2025-05-22,"This vulnerability affects a common open-source component, third-party library, or a protocol used by different products. Please check with specific vendors for information on patching status. For more information, please see: https://httpd.apache.org/security/vulnerabilities_24.html ; https://nvd.nist.gov/vuln/detail/CVE-2024-38475"
CVE-2023-44221,SonicWall,SMA100 Appliances,SonicWall SMA100 Appliances OS Command Injection Vulnerability,2025-05-01,2025-05-22,https://psirt.global.sonicwall.com/vuln-detail/SNWLID-2023-0018 ; https://nvd.nist.gov/vuln/detail/CVE-2023-44221
CVE-2025-31324,SAP,NetWeaver,SAP NetWeaver Unrestricted File Upload Vulnerability,2025-04-29,2025-05-20,https://me.sap.com/notes/3594142 ; https://nvd.nist.gov/vuln/detail/CVE-2025-31324
CVE-2025-1976,Broadcom,Brocade Fabric OS,Broadcom Brocade Fabric OS Code Injection Vulnerability,2025-04-28,2025-05-19,https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/25602 ; https://nvd.nist.gov/vuln/detail/CVE-2025-1976
CVE-2025-42599,Qualitia,Active! Mail,Qualitia Active! Mail Stack-Based Buffer Overflow Vulnerability,2025-04-28,2025-05-19,https://www.qualitia.com/jp/news/2025/04/18_1030.html ; https://nvd.nist.gov/vuln/detail/CVE-2025-42599
CVE-2025-3928,Commvault,Web Server,Commvault Web Server Unspecified Vulnerability,2025-04-28,2025-05-19,https://documentation.commvault.com/securityadvisories/CV_2025_03_1.html;   https://www.commvault.com/blogs/notice-security-advisory-update;   https://nvd.nist.gov/vuln/detail/CVE-2025-3928      
CVE-2025-24054,Microsoft,Windows,Microsoft Windows NTLM Hash Disclosure Spoofing Vulnerability,2025-04-17,2025-05-08,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-24054 ; https://nvd.nist.gov/vuln/detail/CVE-2025-24054
CVE-2025-31201,Apple,Multiple Products,Apple Multiple Products Arbitrary Read and Write Vulnerability,2025-04-17,2025-05-08,https://support.apple.com/en-us/122282 ; https://support.apple.com/en-us/122400 ; https://support.apple.com/en-us/122401 ; https://support.apple.com/en-us/122402 ; https://nvd.nist.gov/vuln/detail/CVE-2025-31201
CVE-2025-31200,Apple,Multiple Products,Apple Multiple Products Memory Corruption Vulnerability,2025-04-17,2025-05-08,https://support.apple.com/en-us/122282 ; https://support.apple.com/en-us/122400 ; https://support.apple.com/en-us/122401 ; https://support.apple.com/en-us/122402 ; https://nvd.nist.gov/vuln/detail/CVE-2025-31200
CVE-2021-20035,SonicWall,SMA100 Appliances,SonicWall SMA100 Appliances OS Command Injection Vulnerability,2025-04-16,2025-05-07,https://psirt.global.sonicwall.com/vuln-detail/SNWLID-2021-0022 ; https://nvd.nist.gov/vuln/detail/CVE-2021-20035
CVE-2024-53150,Linux,Kernel,Linux Kernel Out-of-Bounds Read Vulnerability,2025-04-09,2025-04-30,"This vulnerability affects a common open-source component, third-party library, or a protocol used by different products. For more information, please see: https://lore.kernel.org/linux-cve-announce/2024122427-CVE-2024-53150-3a7d@gregkh/ ; https://source.android.com/docs/security/bulletin/2025-04-01 ; https://nvd.nist.gov/vuln/detail/CVE-2024-53150"
CVE-2024-53197,Linux,Kernel,Linux Kernel Out-of-Bounds Access Vulnerability,2025-04-09,2025-04-30,"This vulnerability affects a common open-source component, third-party library, or a protocol used by different products. For more information, please see: https://lore.kernel.org/linux-cve-announce/2024122725-CVE-2024-53197-6aef@gregkh/ ; https://source.android.com/docs/security/bulletin/2025-04-01 ; https://nvd.nist.gov/vuln/detail/CVE-2024-53197"
CVE-2025-29824,Microsoft,Windows,Microsoft Windows Common Log File System (CLFS) Driver Use-After-Free Vulnerability,2025-04-08,2025-04-29,https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2025-29824 ; https://nvd.nist.gov/vuln/detail/CVE-2025-29824
CVE-2025-30406,Gladinet,CentreStack,Gladinet CentreStack and Triofox Use of Hard-coded Cryptographic Key Vulnerability,2025-04-08,2025-04-29,https://gladinetsupport.s3.us-east-1.amazonaws.com/gladinet/securityadvisory-cve-2005.pdf ; https://gladinetsupport.s3.us-east-1.amazonaws.com/gladinet/securityadvisory-cve-2025-triofox.pdf ; https://nvd.nist.gov/vuln/detail/CVE-2025-30406
CVE-2025-31161,CrushFTP,CrushFTP,CrushFTP Authentication Bypass Vulnerability,2025-04-07,2025-04-28,https://www.crushftp.com/crush11wiki/Wiki.jsp?page=Update ; https://nvd.nist.gov/vuln/detail/CVE-2025-31161
CVE-2025-22457,Ivanti,"Connect Secure, Policy Secure, and ZTA Gateways","Ivanti Connect Secure, Policy Secure, and ZTA Gateways Stack-Based Buffer Overflow Vulnerability",2025-04-04,2025-04-11,CISA Mitigation Instructions: https://www.cisa.gov/cisa-mitigation-instructions-cve-2025-22457 ; Additional References: https://forums.ivanti.com/s/article/April-Security-Advisory-Ivanti-Connect-Secure-Policy-Secure-ZTA-Gateways-CVE-2025-22457 ; https://nvd.nist.gov/vuln/detail/CVE-2025-22457
CVE-2025-24813,Apache,Tomcat,Apache Tomcat Path Equivalence Vulnerability,2025-04-01,2025-04-22,"This vulnerability affects a common open-source component, third-party library, or a protocol used by different products. Please check with specific vendors for information on patching status. For more information, please see: https://lists.apache.org/thread/j5fkjv2k477os90nczf2v9l61fb0kkgq ; https://nvd.nist.gov/vuln/detail/CVE-2025-24813"
CVE-2024-20439,Cisco,Smart Licensing Utility,Cisco Smart Licensing Utility Static Credential Vulnerability,2025-03-31,2025-04-21,https://sec.cloudapps.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-cslu-7gHMzWmw ; https://nvd.nist.gov/vuln/detail/CVE-2024-20439
CVE-2025-2783,Google,Chromium Mojo,Google Chromium Mojo Sandbox Escape Vulnerability,2025-03-27,2025-04-17,https://chromereleases.googleblog.com/2025/03/stable-channel-update-for-desktop_25.html ; https://nvd.nist.gov/vuln/detail/CVE-2025-2783
CVE-2019-9875,Sitecore,CMS and Experience Platform (XP),Sitecore CMS and Experience Platform (XP) Deserialization Vulnerability,2025-03-26,2025-04-16,https://support.sitecore.com/kb?id=kb_article_view&sysparm_article=KB0038556 ; https://nvd.nist.gov/vuln/detail/CVE-2019-9875
CVE-2019-9874,Sitecore,CMS and Experience Platform (XP),Sitecore CMS and Experience Platform (XP) Deserialization Vulnerability,2025-03-26,2025-04-16,https://support.sitecore.com/kb?id=kb_article_view&sysparm_article=KB0334035 ; https://nvd.nist.gov/vuln/detail/CVE-2019-9874
CVE-2025-30154,reviewdog,action-setup GitHub Action,reviewdog/action-setup GitHub Action Embedded Malicious Code Vulnerability,2025-03-24,2025-04-14,"This vulnerability affects a common open-source project, third-party library, or a protocol used by different products. For more information, please see: CISA Mitigation Instructions: https://www.cisa.gov/news-events/alerts/2025/03/18/supply-chain-compromise-third-party-tj-actionschanged-files-cve-2025-30066-and-reviewdogaction ; Additional References: https://github.com/reviewdog/reviewdog/security/advisories/GHSA-qmg3-hpqr-gqvc ; https://nvd.nist.gov/vuln/detail/CVE-2025-30154"
CVE-2017-12637,SAP,NetWeaver,SAP NetWeaver Directory Traversal Vulnerability,2025-03-19,2025-04-09,SAP users must have an account to log in and access the patch: https://me.sap.com/notes/3476549 ; https://nvd.nist.gov/vuln/detail/CVE-2017-12637
CVE-2024-48248,NAKIVO,Backup and Replication,NAKIVO Backup and Replication Absolute Path Traversal Vulnerability,2025-03-19,2025-04-09,https://helpcenter.nakivo.com/Release-Notes/Content/Release-Notes.htm ; https://nvd.nist.gov/vuln/detail/CVE-2024-48248
CVE-2025-1316,Edimax,IC-7100 IP Camera,Edimax IC-7100 IP Camera OS Command Injection Vulnerability,2025-03-19,2025-04-09,https://www.edimax.com/edimax/post/post/data/edimax/global/press_releases/4801/ ; https://nvd.nist.gov/vuln/detail/CVE-2025-1316
CVE-2025-30066,tj-actions,changed-files GitHub Action,tj-actions/changed-files GitHub Action Embedded Malicious Code Vulnerability,2025-03-18,2025-04-08,"This vulnerability affects a common open-source project, third-party library, or a protocol used by different products. For more information, please see: CISA Mitigation Instructions: https://www.cisa.gov/news-events/alerts/2025/03/18/supply-chain-compromise-third-party-tj-actionschanged-files-cve-2025-30066-and-reviewdogaction ; Additional References: https://github.com/tj-actions/changed-files/blob/45fb12d7a8bedb4da42342e52fe054c6c2c3fd73/README.md?plain=1#L20-L28 ; https://nvd.nist.gov/vuln/detail/CVE-2025-30066"
CVE-2025-24472,Fortinet,FortiOS and FortiProxy,Fortinet FortiOS and FortiProxy Authentication Bypass Vulnerability,2025-03-18,2025-04-08,https://fortiguard.fortinet.com/psirt/FG-IR-24-535 ; https://nvd.nist.gov/vuln/detail/CVE-2025-24472
CVE-2025-21590,Juniper,Junos OS,Juniper Junos OS Improper Isolation or Compartmentalization Vulnerability,2025-03-13,2025-04-03,https://supportportal.juniper.net/s/article/2025-03-Out-of-Cycle-Security-Bulletin-Junos-OS-A-local-attacker-with-shell-access-can-execute-arbitrary-code-CVE-2025-21590?language=en_US ; https://nvd.nist.gov/vuln/detail/CVE-2025-21590
CVE-2025-24201,Apple,Multiple Products,Apple Multiple Products WebKit Out-of-Bounds Write Vulnerability,2025-03-13,2025-04-03,https://support.apple.com/en-us/122281 ; https://support.apple.com/en-us/122283 ; https://support.apple.com/en-us/122284 ; https://support.apple.com/en-us/122285 ; ; https://nvd.nist.gov/vuln/detail/CVE-2025-24201
CVE-2025-24993,Microsoft,Windows,Microsoft Windows NTFS Heap-Based Buffer Overflow Vulnerability,2025-03-11,2025-04-01,https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2025-24993 ; https://nvd.nist.gov/vuln/detail/CVE-2025-24993
CVE-2025-24991,Microsoft,Windows,Microsoft Windows NTFS Out-Of-Bounds Read Vulnerability,2025-03-11,2025-04-01,https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2025-24991 ; https://nvd.nist.gov/vuln/detail/CVE-2025-24991
CVE-2025-24985,Microsoft,Windows,Microsoft Windows Fast FAT File System Driver Integer Overflow Vulnerability,2025-03-11,2025-04-01,https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2025-24985 ; https://nvd.nist.gov/vuln/detail/CVE-2025-24985
CVE-2025-24984,Microsoft,Windows,Microsoft Windows NTFS Information Disclosure Vulnerability,2025-03-11,2025-04-01,https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2025-24984 ; https://nvd.nist.gov/vuln/detail/CVE-2025-24984
CVE-2025-24983,Microsoft,Windows,Microsoft Windows Win32k Use-After-Free Vulnerability,2025-03-11,2025-04-01,https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2025-24983 ; https://nvd.nist.gov/vuln/detail/CVE-2025-24983
CVE-2025-26633,Microsoft,Windows,Microsoft Windows Management Console (MMC) Improper Neutralization Vulnerability,2025-03-11,2025-04-01,https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2025-26633 ; https://nvd.nist.gov/vuln/detail/CVE-2025-26633
CVE-2024-13161,Ivanti,Endpoint Manager (EPM),Ivanti Endpoint Manager (EPM) Absolute Path Traversal Vulnerability,2025-03-10,2025-03-31,https://forums.ivanti.com/s/article/Security-Advisory-EPM-January-2025-for-EPM-2024-and-EPM-2022-SU6?language=en_US ; https://nvd.nist.gov/vuln/detail/CVE-2024-13161
CVE-2024-13160,Ivanti,Endpoint Manager (EPM),Ivanti Endpoint Manager (EPM) Absolute Path Traversal Vulnerability,2025-03-10,2025-03-31,https://forums.ivanti.com/s/article/Security-Advisory-EPM-January-2025-for-EPM-2024-and-EPM-2022-SU6?language=en_US ; https://nvd.nist.gov/vuln/detail/CVE-2024-13160
